city,year,country,jams_delay,jams_count,traffic_index_live,city_gdp_per_capita
belo-horizonte,2024,BRA,263.04787931788366,68.80542195015303,19.428946217752515,11124.0
bogota,2024,COL,1141.5523642732041,230.56654991243434,37.614273204903675,11442.0
brasilia,2024,BRA,101.57632617273147,27.28014028934678,11.258220078912757,16251.0
buenos-aires,2024,ARG,571.0895933537382,137.35986007870574,17.75601224311325,18117.0
curitiba,2024,BRA,183.46927447552432,46.89816433566433,14.954545454545455,12381.0
fortaleza,2024,BRA,82.81318101933213,24.64499121265378,15.896748681898067,8512.0
lima,2024,PER,1052.2927888792358,213.4535186794092,31.031277150304085,13472.0
mexico-city,2024,MEX,2833.0578924355077,594.969392216878,34.21818976825536,21111.0
montevideo,2024,URY,50.2010921799912,14.160332022717343,17.01485364788117,26176.0
porto-alegre,2024,BRA,139.3828296101621,39.813403416557165,17.68725361366623,11801.0
recife,2024,BRA,112.75555069930087,33.22115384615385,21.555944055944057,9189.0
rio-de-janeiro,2024,BRA,466.06470588235203,123.89193899782136,25.16296296296296,13349.0
salvador,2024,BRA,86.40000000000002,25.23524267599475,20.928727590730215,8899.0
santiago,2024,CHL,629.8653176675361,153.0953002610966,20.155352480417754,2277.0
sao-paulo,2024,BRA,1729.189270199824,431.4704604691573,26.877932232841008,14703.0
